round,date,home_team,away_team,home_score,away_score,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_possession,away_possession,home_total_passes,away_total_passes,home_pass_accuracy,away_pass_accuracy,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,source
1,2023-05-01,Cruzeiro,Juventude,0,0,12,13,5,4,7,9,61.56684954429353,38.43315045570647,480,402,84.9087894836866,78.63319092459359,7,10,3,1,0,0,3,5,4,1,Generated
1,2023-05-01,São Paulo,Atlético-MG,1,1,16,16,5,5,11,11,34.59347298956814,65.40652701043186,567,485,79.62280203709635,80.65178865103172,7,16,4,4,0,1,4,3,3,3,Generated
1,2023-05-01,Corinthians,Fortaleza,1,1,21,14,7,4,14,10,67.59328494453901,32.40671505546099,488,375,82.40145511857027,80.66922183952643,8,9,0,3,0,0,4,7,2,3,Generated
1,2023-05-01,Cuiabá,Flamengo,1,5,11,17,4,4,7,13,59.45776942498891,40.54223057501109,522,477,89.69682397924669,86.77796172891868,17,13,0,2,0,0,6,3,3,1,Generated
1,2023-05-01,Criciúma,Atlético-GO,1,1,17,15,7,3,10,12,65.92217157762855,34.077828422371454,459,404,85.51055233390021,79.06577669496055,12,11,1,3,0,0,1,3,2,0,Generated
1,2023-05-01,Bahia,Fluminense,1,0,12,11,5,3,7,8,38.19937181663284,61.80062818336716,466,381,73.62870870179594,81.66083121939384,11,16,1,2,0,0,6,4,2,1,Generated
1,2023-05-01,Grêmio,Botafogo,0,0,10,10,4,2,6,8,56.05681553407457,43.94318446592543,504,430,81.94826204340616,82.01033720867306,14,18,2,1,0,0,5,6,2,2,Generated
1,2023-05-01,EC Vitória,Atlético-PR,0,1,18,10,7,3,11,7,61.976635158759166,38.023364841240834,493,405,71.83164146653269,88.34627150924486,11,12,5,1,2,0,4,10,2,0,Generated
1,2023-05-01,Bragantino,Internacional,1,1,19,17,6,7,13,10,30.97603126226152,69.02396873773847,508,509,88.78135397025792,85.9756647154733,15,12,4,2,0,0,2,3,3,0,Generated
1,2023-05-01,Vasco da Gama,Palmeiras,3,1,24,17,6,6,18,11,39.22679246871034,60.77320753128966,457,458,77.0025051833346,71.15685353126793,8,15,1,1,0,0,4,8,2,0,Generated
2,2023-05-08,Cruzeiro,Bragantino,0,2,17,11,8,4,9,7,52.62927855983165,47.37072144016835,464,419,87.01163458188483,87.34588401919605,14,13,2,0,0,0,6,8,4,1,Generated
2,2023-05-08,Botafogo,EC Vitória,0,0,18,13,3,5,15,8,54.83662071069908,45.16337928930092,497,416,70.44247103057995,76.47220438299082,12,14,2,1,0,0,4,6,2,2,Generated
2,2023-05-08,Atlético-MG,Grêmio,2,1,22,8,6,2,16,6,66.83391391262748,33.16608608737252,568,399,72.50371584405102,83.71130574457942,11,12,2,2,0,0,6,4,3,0,Generated
2,2023-05-08,Bahia,Vasco da Gama,0,0,14,13,6,6,8,7,62.02346796436331,37.97653203563669,459,370,84.12951452973802,70.63172289651284,19,12,5,4,0,0,1,5,2,3,Generated
2,2023-05-08,Atlético-PR,Palmeiras,1,1,15,18,7,6,8,12,47.01973337792302,52.98026662207698,470,508,78.77230838379181,84.50515320830273,12,17,3,3,0,1,5,6,3,1,Generated
2,2023-05-08,Fluminense,Flamengo,0,0,11,13,3,5,8,8,47.235500946472236,52.764499053527764,463,493,73.35238432576635,70.73342853867086,15,12,3,0,0,0,3,4,3,4,Generated
2,2023-05-08,Internacional,Atlético-GO,0,0,16,9,4,2,12,7,68.79648184429081,31.20351815570919,523,397,73.54299578894772,83.85251904452329,14,13,1,3,0,0,4,11,3,1,Generated
2,2023-05-08,Corinthians,São Paulo,2,1,14,8,4,1,10,7,56.728511942200655,43.271488057799345,488,472,80.38163570272437,79.58363755259462,11,13,5,1,0,0,4,3,2,3,Generated
2,2023-05-08,Fortaleza,Cuiabá,0,1,16,7,7,1,9,6,40.26251134805455,59.73748865194545,501,446,86.3837771885358,87.68412926696816,9,13,3,3,0,0,6,1,3,2,Generated
2,2023-05-08,Criciúma,Juventude,2,3,10,13,2,6,8,7,33.176774759559464,66.82322524044054,444,380,74.53312804453977,77.09992611663874,6,9,3,4,0,0,3,4,4,1,Generated
3,2023-05-15,Criciúma,Fortaleza,3,1,19,15,5,3,14,12,42.12513423781314,57.87486576218686,464,367,81.07604481424752,76.11048621316047,11,13,4,1,0,0,6,6,5,2,Generated
3,2023-05-15,EC Vitória,Atlético-GO,0,0,26,10,7,4,19,6,47.58046754531641,52.41953245468359,448,382,83.00402184796306,73.04049706257297,12,9,0,1,0,0,8,7,0,2,Generated
3,2023-05-15,Cuiabá,Vasco da Gama,0,1,25,7,5,1,20,6,48.17509338239844,51.82490661760156,505,399,76.4935185378012,84.74714154775599,12,11,5,1,0,0,7,5,0,1,Generated
3,2023-05-15,Corinthians,Bragantino,3,0,19,9,5,4,14,5,33.935825988535896,66.0641740114641,490,386,71.64343334952855,89.3572006969006,10,13,1,4,1,0,7,7,0,2,Generated
3,2023-05-15,Atlético-PR,Grêmio,3,1,20,16,6,6,14,10,37.097150778788276,62.902849221211724,483,440,73.29629631458874,72.63457546909123,14,9,4,2,0,0,3,5,1,2,Generated
3,2023-05-15,Bahia,Palmeiras,1,1,19,25,6,6,13,19,43.077264653523166,56.922735346476834,454,472,84.44141876405475,87.72391560930149,13,11,0,3,0,0,5,5,0,4,Generated
3,2023-05-15,Flamengo,São Paulo,1,0,15,23,5,5,10,18,46.84992213176288,53.15007786823712,569,450,86.79604571271234,77.67665903866089,13,8,1,0,0,0,7,4,3,1,Generated
